Filename,job title,years of experience,highest level of education,language skills,key skills,Summary,job title embedding,highest level of education embedding,language skills embedding,key skills embedding,Summary embedding,similarity
test_resume_PL.pdf,Full Stack Developer,5.5,Bachelor of Science in Computer Science,English (Fluent),"JavaScript (ES2020), React.js, Node.js (Express), Apollo engine, SQL Server, PostgreSQL, Kafka, RabbitMQ, Kubernetes (K8s), Docker, pair programming, automated testing, continuous deployment, trunk-based development, microservices architecture, GraphQL.","Alex Johnson is a dynamic and creative Full Stack Developer with over 5 years of experience in developing robust web applications. He holds a Bachelor of Science in Computer Science from Tech University and is proficient in JavaScript, with experience in C# and Python. Alex has expertise in React.js and Node.js, as well as advanced skills in SQL Server and PostgreSQL. He is knowledgeable in messaging systems such as Kafka and RabbitMQ and has experience with Kubernetes and Docker. Alex is fluent in English and has strong communication skills.
","[-0.0275719  -0.04344269  0.01719986 ... -0.03106399 -0.01424201
  0.01826834]","[-0.03735457 -0.0184915   0.03123446 ... -0.02249143  0.00354912
  0.04168237]","[-0.02001821  0.02622181 -0.02333864 ... -0.04891823  0.02967888
  0.00238613]","[-0.05989794  0.01907999  0.05825075 ... -0.00389649 -0.01462508
 -0.01269712]","[-0.05397163 -0.01984111  0.03545009 ... -0.01229222  0.00094807
  0.01024748]",0.8183475130031804
perfect_match_test_resume.pdf,Full Stack Developer,5.5,Bachelor of Science in Computer Science,English (Fluent),"JavaScript, React.js, Node.js, C#, Python, SQL Server, PostgreSQL, Kafka, RabbitMQ, Kubernetes, Docker, pair programming, automated testing, continuous deployment, microservices architecture, GraphQL","Alex Johnson is a dynamic and creative Full Stack Developer with over 5 years of experience in developing web applications. He has a Bachelor of Science in Computer Science and is proficient in JavaScript, with experience in C# and Python. Alex is skilled in React.js and Node.js, and has experience with Apollo engine. He is also knowledgeable in SQL Server, PostgreSQL, Kafka, RabbitMQ, Kubernetes, and Docker. Alex is fluent in English and has experience with microservices architecture and GraphQL implementations.
","[-0.0275719  -0.04344269  0.01719986 ... -0.03106399 -0.01424201
  0.01826834]","[-0.03735457 -0.0184915   0.03123446 ... -0.02249143  0.00354912
  0.04168237]","[-0.02001821  0.02622181 -0.02333864 ... -0.04891823  0.02967888
  0.00238613]","[-0.05990537  0.01976436  0.05632966 ... -0.01173126 -0.01637234
 -0.00917194]","[-0.05070486 -0.01392152  0.03327066 ... -0.0033629  -0.00503113
  0.01035596]",0.8176675757576797
15601399.pdf,Self-Sustaining Engineering Technician,20.0,Bachelor of Science in Electronic Engineering,,"Versatile, project management, hardware troubleshooting, technical expertise, people skills, quality assurance, technical support, communication, inspection, team leadership, scheduling, training, troubleshooting","This resume belongs to a Self-Sustaining Engineering Technician with 20 years of experience and a Bachelor of Science degree in Electronic Engineering. They are fluent in English and have experience in Diffusion Furnace, Wet Etch, and Plasma Asher while making 200mm and 300mm wafers. They have strong technical skills and are able to work independently or as part of a team. They have also been a Lead Operation Trainer, Rotating Area Coordinator, and a former member of the Fab Emergency Response Team. They have experience in building and testing electronic products and have excellent communication, inspection, and troubleshooting skills.
","[ 0.00847404  0.02479415 -0.02105582 ... -0.02566593 -0.00924978
  0.0416388 ]","[-0.03314077 -0.01538263 -0.02429081 ... -0.02245095  0.01106245
  0.04853505]",,"[-0.02712794  0.02288758  0.05114369 ... -0.00315434 -0.00542689
 -0.01772653]","[-0.00503405  0.03148469  0.01404411 ... -0.00551252  0.00821486
  0.0022879 ]",0.4107442083779096
19007667.pdf,Chef,11.5,,"English, Spanish","Catering, International cuisine, Food handling, Menu development, Inventory management, Scheduling, Quality control, Logistics","Experienced catering chef with over 20 years of experience and a degree in culinary arts. Fluent in English and Spanish, with a strong knowledge of international cuisine. Skilled in managing kitchen operations, controlling food quality and costs, and developing new menu items. Proficient in inventory management and scheduling. Previous experience includes working as a catering chef and line cook, with a focus on producing food for catered events and maintaining high food quality standards.
","[ 0.02068969 -0.04564774  0.02786291 ... -0.02774434  0.02100982
 -0.02272902]",,"[-0.00511529  0.00315329  0.00742927 ... -0.02795541  0.03612833
  0.00584089]","[-0.0455943   0.00064261  0.08623604 ...  0.01784458 -0.00216675
 -0.04715156]","[-0.01304673 -0.00338724  0.04835583 ... -0.01528932 -0.01249776
 -0.04120757]",0.3968381481723853
11409460.pdf,"Buyer/Planner, Logistics Analyst, Warehouse Executive",4.5,Bachelor of Science in Petroleum Engineering,"English, Portuguese, Spanish","Solid Works, CAD, Matlab, MS Office, Process Implementation, ERP, Forecasting, Leadership, Logistics, Materials, Personnel, Procurement, Production Management, Sales, Shipping, Strategy & Planning, Supply Chain","3D modeling, Warehouse

This candidate is a detail-oriented, analytical-thinking, trilingual individual with a Bachelor of Science in Petroleum Engineering from Texas A&M University and a strong GPA. They have experience in logistics, procurement, and warehouse management, as well as proficiency in Solid Works, CAD, Matlab, and MS Office. They have strong problem-solving skills and are seeking an internship or full-time position in a team-oriented work environment.
This resume belongs to a candidate with experience in specification, strategy and planning, and supply chain. They have a high level of education and are proficient in multiple languages. Their key skills include supply chain management, strategic planning, and project management.
","[-0.03179485 -0.00267278 -0.0007923  ...  0.02254456  0.03409532
  0.00204923]","[-0.05517318 -0.02315022  0.03015384 ... -0.04467902  0.00780306
  0.04253965]","[-0.01164859  0.01774455  0.02267433 ... -0.03029428  0.04031286
  0.0085741 ]","[-0.01921763  0.02159892  0.07872407 ... -0.0045341  -0.00317934
  0.00734338]","[-0.04410448  0.03038365  0.0425574  ... -0.01462118  0.01233226
  0.00536089]",0.38499894713669475
13907230.pdf,General Construction Intern,0.25,Bachelor of Science in Construction Management,Bilingual and biliterate in Spanish,"Proficient technical skills in AutoCAD, Microsoft Word, PowerPoint, Excel; Quality control and safety on project work field; Management and communication under pressure; Quick problem solving abilities.","This candidate is a dedicated student with excellent technical, analytical, and communication skills, seeking a position as a General Construction Intern. They have a Bachelor of Science in Construction Management and a minor in Spanish from Eastern Washington University. They also have experience as a Bartender/Server and a Voluntary Business Manager. They are bilingual and biliterate in Spanish and have proficiency in AutoCAD, Microsoft Word, PowerPoint, and Excel. They have experience with quality control and safety in project work and can perform management and communication tasks under pressure.
","[-0.03458903  0.03296444  0.04418889 ... -0.00609222 -0.00634329
  0.02569808]","[-0.0258317   0.02778453  0.04943867 ... -0.02251931  0.01516531
  0.04066331]","[ 0.00366885 -0.01302854 -0.02371487 ... -0.02515436  0.05738414
 -0.00038999]","[ 0.0106585   0.03492786  0.05036518 ... -0.02654618  0.01821453
 -0.01534975]","[-0.01341691  0.02373344  0.02791691 ... -0.01877825  0.02301588
  0.0139043 ]",0.3825228596346805
39434376.pdf,Graphic Designer and Illustrator,3.5,Bachelor of Science in Fine Arts,Spanish,"Creative, Relational, Engaging, Painting/Drawing, Graphic Design, Leadership, Athletic, Team Player","This graphic designer and illustrator has 5 years of experience and a Bachelor of Science in Fine Arts from Samford University. They are skilled in painting, drawing, graphic design, and leadership. They are also fluent in Spanish. They have experience working as a counselor and a nanny, and have been involved in various campus activities and organizations. They have a passion for outdoor activities and are an avid fan of the Avett Brothers.
","[-0.01747935  0.02455797 -0.02181085 ... -0.02041813  0.0038268
  0.01824599]","[-0.0354394  -0.00102367  0.0421202  ... -0.01601956 -0.01689358
  0.0343379 ]","[-0.03011109 -0.03712159 -0.03366502 ...  0.00206451  0.01445916
 -0.00673057]","[-0.00899995  0.02760628  0.0077044  ... -0.02621425  0.01757265
  0.02278242]","[-0.00142698  0.02880572  0.02354554 ...  0.0041236  -0.02363321
 -0.00530714]",0.37291533166253427
25157655.pdf,"Inside Account Manager, Event Manager and Sales Associate, House Manager and Box Office Sales",10.0,Bachelor of Arts in Psychology,,"Team leadership, customer service, volume licensing, staff training, time management, organization, problem resolution, computer skills, multi-tasking, sales, CRM, SharePoint, catalog management, Outlook, Excel, Power Point, Word, Lockheed Martin Procure To Pay, Sandia Oracle Storefront","Experienced Inside Account Manager with eight years of experience at SHI, seeking Inside Sales Team Manager position. Holds a Bachelor of Arts degree in Psychology and is fluent in English and Spanish. Possesses strong organizational, analytical, and problem-solving skills, as well as extensive knowledge of account management. Experienced in team leadership, customer service, and staff training. Proficient in various computer applications and adept at multitasking.
","[-0.02725711  0.01975721  0.03422531 ... -0.02203796 -0.00220729
  0.00672333]","[-0.03398325 -0.01309676  0.0339377  ... -0.00655977 -0.00156876
  0.05074711]",,"[-0.01576072  0.0192234   0.06595592 ...  0.0034541   0.0144416
 -0.00174423]","[-0.0119307  -0.0083594   0.04314765 ... -0.00874269  0.01134056
  0.00076012]",0.3651000179724602
81011612.pdf,Graphic Designer,8.0,,,"Photoshop, Illustrator, Basic HTML coding, Microsoft Office, 3D Chemistry Laboratories, animation, database analysis, purification, extraction, inventory management, sales/profit, IR spectroscopy, NMR analysis, SQL server, POS software, graphic designing.","This graphic designer has eight years of experience in business management and a strong background in computer tasks and data analysis. They have a Bachelor's degree in Chemistry and are proficient in Basic HTML coding, Microsoft Office, and 3D Chemistry Laboratories. They also have experience in inventory management and sales/profit analysis. They are skilled in graphic design using Photoshop and Illustrator and have experience in advertising and publishing Point of Sale materials. They are also fluent in NMR analysis using SQL server and various POS and Mass Spec software.
","[-0.01850437  0.0258307   0.01668626 ... -0.00098565 -0.00562942
  0.0121275 ]",,,"[-0.05779535  0.03040992  0.06164471 ... -0.01620854  0.00135157
  0.01004957]","[-0.03117612  0.05340581  0.0402862  ... -0.02012946 -0.00550628
  0.00370609]",0.3624945976139744
29521434.pdf,Cashier,0.25,Associate of Arts in Early Childhood Education/English second language,Conversant in Korean,"Problem Solving, Adaptability, Collaboration, Strong Work Ethic, Time Management, Critical Thinking, Self-Confidence, Handling Pressure, Leadership, Creativity","This resume belongs to a Cashier with experience in caring for dogs and training at an animal shelter. They have experience in customer service and sales, as well as a background in early childhood education and English as a second language. They are fluent in Korean and possess skills in problem solving, adaptability, collaboration, and creativity. They have a GED and are currently pursuing an Associate of Arts degree in Early Childhood Education and English as a second language.
","[-0.02812413 -0.01013905 -0.02138318 ... -0.03969978  0.0196565
  0.01098858]","[-0.01285929 -0.01389783  0.00601539 ... -0.0225796  -0.01732853
  0.03185649]","[-0.0201609  -0.0339352  -0.06680596 ... -0.00550908 -0.00560729
 -0.03294679]","[ 1.12424502e-02 -2.01427238e-03  5.39637581e-02 ... -2.77079549e-02
 -8.93869947e-05  2.59688892e-03]","[ 0.00793155  0.00819676  0.02999928 ...  0.01672657 -0.00458254
 -0.0097695 ]",0.35105565436366415
17660419.pdf,"Guest Lecturer, Fitness Supervisor, Fundamental Fitness Instructor, Personal Trainer",43.5,"M.A in Physical Education, B.A in Psychology and Sports Medicine Fitness Management","English (fluent), Spanish (basic competence)","basic fitness principles, supervising, quality monitoring, teaching, personal training, fluency in English, basic competence in Spanish","Diana Dimas is a highly experienced Guest Lecturer with over 15 years of experience in the fitness industry. She holds a Master's degree in Physical Education and is fluent in both English and Spanish. Diana's key skills include supervising, training, and evaluating fitness specialists and interns, as well as teaching fundamental fitness principles to beginners and individuals with chronic diseases. She is also a certified Personal Trainer and has published articles on personal fitness strategies.
","[-0.06426928  0.03567426  0.01916448 ...  0.00068185  0.00598258
  0.0224007 ]","[-0.01464555  0.04914396  0.01308801 ... -0.01557543  0.02202645
  0.00549789]","[-0.02744474  0.0300999   0.0009112  ... -0.02599647  0.03521712
 -0.00381982]","[-0.03421523  0.0663614   0.06520071 ...  0.00746881  0.01665343
 -0.00936125]","[-0.00426145  0.05400694  0.04414736 ...  0.01190139 -0.00477343
 -0.00648108]",0.3482391778930427
30529547.pdf,Sales Representative,0.0833333333333333,,Bi-lingual,"Hard working, Friendly, Enthusiastic, Customer service, Personal service, Basic mathematics, Money handling, Front desk reception, Greeting, Telephone operation, Payment processing, Complaint resolution, Information transmission, Mail sorting, Hotel rewards program enrollment, Rate calculation, Lobby maintenance, Room service, Food order taking, Kitchen staff coordination, Table setting, Check total calculation, Guest assistance, Dish cleaning, Team training, Guest behavior observation and influence, Food preparation, Menu item knowledge, Policy knowledge, Critical thinking, Time management","This sales representative has 2 years of experience and a high school diploma. They are bilingual and have skills in customer service, personal service, and basic mathematics. They have experience as a cashier, front desk receptionist, room service, and team member. They also have training as a nail technician and have skills in critical thinking, time management, and using a facsimile machine.
","[ 0.00160534 -0.0019823   0.00222278 ...  0.01428556 -0.0129272
  0.03052093]",,"[-0.00740652  0.01054935  0.02395581 ... -0.01402184  0.01336251
  0.00215566]","[-0.03658449 -0.00375742  0.03702132 ... -0.02226466 -0.00658657
  0.01470205]","[-0.02182475  0.015578    0.04110933 ...  0.00751684 -0.03364433
  0.02879727]",0.3401560373339636
77626587.pdf,Flight Manager,8.5,Bachelor of Applied Studies,,"Account Management, Conflict Resolution, Customer Service, Negotiation, Project Management, Time Management, Sales, International Logistics, Strong interpersonal skills, Skilled in MS Office, Customer-oriented, Skilled multi-tasker, Exceptional customer service skills","This Flight Manager has 8 years of experience and a Bachelor's degree from Kent State University. They have strong communication, account management, and conflict resolution skills, as well as proficiency in MS Office. They are also customer-oriented, a skilled multi-tasker, and have exceptional customer service skills. In their current role, they manage daily operations for 80-120 aircraft and provide timely and professional support to crew members. They also have experience in sales and front desk coordination.
","[-0.06118638  0.02287247 -0.00781488 ... -0.00139965 -0.00530166
 -0.0204534 ]","[-0.05037824 -0.02345769  0.01380015 ... -0.00094587 -0.02432982
  0.07587517]",,"[-0.01423758  0.04699638  0.05907976 ... -0.0029187   0.00903158
  0.0056486 ]","[-0.03432006  0.03526218  0.04392968 ...  0.00044078 -0.01036331
  0.01139964]",0.33505420341701075
20488267.pdf,School Counselor,8.5,Master of Arts degree in Education (2010),English,"Counseling, psychology, teaching, documentation, consultation, intervention, advocacy, language arts, community involvement, writing, editing, reading, computer skills, building rapport, small interest groups, consulting, staff support.","Experienced School Counselor with 10 years of experience and a Master of Arts degree in Education. Fluent in English and skilled in conducting individual and group counseling, teaching classroom guidance lessons, and consulting with parents and staff. Proficient in documentation and familiar with counseling practices and interventions. Also has experience as a Language Arts Teacher and is certified in Middle Grades Language Arts. Involved in community outreach and affiliated with the NC School Counseling Association. Interests include writing, editing, reading, and advocating for literacy. Skilled in building rapport with students and proficient in Microsoft Office programs.
This candidate has over 10 years of experience as a consultant for staff members and creating small interest groups for students. They hold a Bachelor's degree and are fluent in English and Spanish. Their key skills include writing, editing, and advocating for literacy, as well as proficiency in PowerPoint, Microsoft Word, Excel, and Access. They also have interests in writing, editing for their church magazine, reading, and computers.
","[-0.02574208 -0.02068294  0.03033002 ... -0.0160082  -0.08144218
  0.01438382]","[-0.03091613 -0.00419756  0.01325305 ... -0.03348864 -0.01123179
 -0.01047956]","[-0.01908158 -0.01209502  0.01870595 ... -0.01833033  0.0122678
  0.00648698]","[-0.02005124  0.01767544  0.0822449  ... -0.03161926 -0.05468067
  0.00727044]","[ 0.00044806  0.01509188  0.05572744 ... -0.02214481 -0.03092618
 -0.03426704]",0.32997395245059735
10820510.pdf,QA / QC Manager,21.0,,,"Microsoft Word, Excel, Weld Pro, Auto-Cad, AWS Certified CWI, API Certified TES, API Certified 653, ASNT Level III, API, closing, Inspector, materials, new construction, personnel, procurement, quality control, sales, scheduling, shell, technical support, Weld, Welder","Matt Halderman is a highly experienced QA/QC Manager with 21 years of experience in the Oil and Gas Industry. He holds a CWI certification from AWS and is also API certified in TES and 653. He is proficient in Microsoft Word, Excel, and Auto-Cad and has strong skills in new construction, quality control, and personnel management. He is also an experienced welder and has worked with various tank companies.
","[-0.03755017  0.02654009  0.03456586 ... -0.03647814  0.00748975
 -0.01932559]",,,"[-0.00532376  0.02844399  0.07637364 ... -0.02834277 -0.00862936
  0.01629709]","[-0.00794618  0.03663281  0.06071766 ... -0.01737012 -0.01181557
 -0.03152548]",0.32862069661129417
14724186.pdf,Interior Designer,22.5,High School Diploma,,"Photoshop, art, Budget Preparation, budgets, budget, contracts, client, clients, Customer Service, Layout, Leadership and Training, materials, Office Suite, paint, Procurement, Rendering, Sales, Sketching","This Interior Designer has over 20 years of experience and a high school diploma. They have strong skills in Photoshop, budget preparation, customer service, and sales. They have worked on various projects, including apartment communities, residences, and restaurants. They are proficient in English and have experience in leadership and training.
","[-0.02415779  0.00289361  0.02057056 ... -0.03304181 -0.02337308
  0.00172881]","[-0.01305083 -0.04577541  0.02186569 ...  0.02115297 -0.02470312
  0.01211623]",,"[-0.00360913  0.0057649   0.06893279 ... -0.00578756 -0.0135302
 -0.01705193]","[-0.02244997  0.00756056  0.03177872 ... -0.00264162 -0.02314506
 -0.02804722]",0.32856467911782034
24533931.pdf,Apparel Associate,3.5,Business Administration University (4 years),,"Adaptability, Strong work ethic, Time management, Self-confidence, Handling pressure, Creativity, Communication, Team work, Motivation, Cash register, Typing, Basic computer skills, Customer Assistance Skills, Cashier, Customer Assistance, Sales, Stock","This resume belongs to an Apparel Associate with 4 years of experience in customer service and sales. They have a high school diploma and are currently pursuing a degree in Business Administration. They are fluent in English and have skills in adaptability, time management, self-confidence, handling pressure, creativity, communication, teamwork, motivation, cash register, typing, basic computer skills, and customer assistance. They have experience in stocking and zoning merchandise, recruiting, and cashiering. They have also participated in a 21st Century Summer Camp.
","[-0.00063843  0.03269364  0.00292988 ... -0.01646779  0.02478486
  0.03847022]","[-0.0764553   0.01319424  0.06941836 ... -0.02574661  0.03333033
  0.02814772]",,"[-0.00068408  0.03951083  0.0563651  ...  0.0062607   0.00835178
  0.00238936]","[-0.00965371  0.05303541  0.04023115 ...  0.00243395  0.02025448
  0.02011557]",0.32431760160431317
25930778.pdf,Engineering Technician,2.5,A.A.S in Drafting and Design,,"3D modeling, architectural drafting, AutoCAD, reading blueprints, carpentry, detail oriented, drafting, email, floor plans, frame, 3dsMax, mechanical, messaging, Microsoft Office applications, multi-tasking, painting, problem solving skills, reading, renovation, Revit, self-motivated, supervisor","This engineering technician has 2 years of experience and an A.A.S in Drafting and Design with a 3.4 GPA. They are proficient in 3D modeling, architectural drafting, AutoCAD, and reading blueprints. They also have experience in carpentry, painting, and problem solving. They have strong communication skills and are self-motivated. They have worked as an Engineering Technician, Material Handler, Laborer, and Janitorial/Construction Laborer. They are willing to relocate for the right opportunity.
","[-0.00801422  0.02709053 -0.02977101 ... -0.01975663  0.01332076
  0.05159582]","[ 0.00349979  0.01559235  0.03531132 ... -0.01312421 -0.0053966
  0.03254282]",,"[-0.03791869  0.04728984  0.07440744 ... -0.02737295  0.01331623
 -0.00743053]","[-0.01898551  0.04072554  0.01150072 ... -0.01567753  0.00485257
  0.02100635]",0.32088102002152175
13518263.pdf,Interior Designer,26.5,Associate of Arts,,"Concept development, space planning, color and material application, strong leader, product specifications, interior architectural detailing, proficient with furniture systems","This successful Interior Designer has 26 years of experience and an Associate of Arts degree from Roosevelt University. They are skilled in concept development, space planning, color and material application, and interior architectural detailing. They are also a strong leader and proficient with furniture systems. They have experience managing and supervising large-scale remodeling projects for both residential and historical homes. They are fluent in English and have a unique design style.
","[-0.02416035  0.00290793  0.02061478 ... -0.03304531 -0.02333352
  0.00172286]","[-0.00700483 -0.00367675 -0.00254042 ... -0.02006182 -0.01897841
  0.04854188]",,"[-0.01466557  0.01598691  0.06604084 ... -0.0235748  -0.00344399
 -0.00774488]","[-3.48103382e-02 -5.04155287e-05  3.43678333e-02 ... -2.98444573e-02
 -3.21307294e-02 -1.27219986e-02]",0.3170966570621066
32518109.pdf,Chef,5.5,High School Diploma,,"Team Player, Physically active, Out-going, Willingness to learn, Shows Initiative","Experienced and highly organized Chef with 5 years of experience and a High School Diploma in General Education. Fluent in English and skilled in team management, training, and prioritization. Also has experience as a Laborer and Crew Manager. Currently pursuing an associate's degree in IT - Computer Support Specialist. Possesses key skills such as being a team player, physically active, outgoing, and having a willingness to learn and show initiative.
","[ 0.02068969 -0.04564774  0.02786291 ... -0.02774434  0.02100982
 -0.02272902]","[-0.01305083 -0.04577541  0.02186569 ...  0.02115297 -0.02470312
  0.01211623]",,"[-0.04609632  0.02598231 -0.01665884 ... -0.0015322   0.00183042
 -0.00877503]","[-0.02863118 -0.00895341  0.00521717 ...  0.00575092  0.00161667
 -0.00526653]",0.30918095499704656
16915389.pdf,"Business Owner, Apparel Production Coordinator, Sweater Production Coordinator",17.42,"Bachelor of Arts, Associate of Arts",,"Management, Leadership, Market Research, Business Development, Visual Merchandising, Quality Control, Design, Trend Analysis, Communication, Customer Relations, Production Coordination, Fashion Merchandising, Fine Arts, Painting","This resume belongs to a business owner with over 20 years of experience in the fashion industry. They have a Bachelor's degree in Fine Arts and an Associate's degree in Fashion Merchandising. They are fluent in English and have strong skills in leadership, market research, and identifying new business opportunities. They have experience in managing store operations, developing merchandise presentations, and establishing relationships with customers. They have also worked as an Apparel Production Coordinator and a Sweater Production Coordinator, where they were responsible for design, development, and quality control.
","[-0.01027949 -0.00197811  0.00331921 ... -0.02491753  0.00929378
  0.00014522]","[-0.04194642 -0.00154651  0.03063346 ... -0.02630381 -0.01436234
  0.04434403]",,"[ 0.00122158  0.0603546   0.04968432 ...  0.00623919 -0.00472714
  0.00157412]","[-0.01518092  0.05131226  0.01650753 ... -0.00363253 -0.00015263
 -0.00524386]",0.30882695690192047
