,Filename,Unnamed: 0,job title,years of experience,highest level of education,language skills,key skills,Summary,job title embedding,highest level of education embedding,language skills embedding,key skills embedding,Summary embedding
1,10329506.pdf,1,"Registered Client Service Associate, Relationship Banker II, Private Banker",8.5,Bachelor's degree (year not specified),None mentioned,"Client support, operational services, marketing and sales, financial advising, team management, communication, compliance, Microsoft Word, Excel, Power Point, Access, Adobe PageMaker 6.5, Adobe Photoshop, Dreamweaver, Visio, Unix, Oracle, Developer 2000, cold calling, cross-selling, outside sales, reconciliation, account management.","Experienced Registered Client Service Associate with 8 years of experience in the client support environment and a Bachelor's degree. Skilled in Microsoft Office, Adobe, and various technology platforms. Strong leadership, communication, and team player abilities. Proven track record of maintaining and developing new businesses. Previous experience as a Relationship Banker and Private Banker, with a track record of exceeding sales quotas and increasing branch revenue. Trained new hires and branch staff for success in the company. Fluent in English and proficient in Spanish.
Experienced Technical Writer/ Web Developer with 2 years of experience in creating, editing, and verifying product and service documentation. Holds a B.S. in Computer Information Systems and completed DBA training. Proficient in Dreamweaver, Adobe PageMaker, Adobe Photoshop, and various computer systems. Skilled in cold calling, client meetings, and sales presentations. Fluent in English and knowledgeable in banking and financial investments.
","[-0.02898483 -0.01825964  0.02124929 ... -0.02382333 -0.03292634
 -0.00424986]","[ 0.00710969 -0.02930363  0.01599998 ... -0.02960887 -0.00941176
 -0.03082986]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00557799 -0.03260064 -0.01487024 ... -0.02326537 -0.01247352
 -0.00448557]","[-0.02225501 -0.02376877  0.00311384 ... -0.03925167 -0.01763404
 -0.01459323]"
2,10344379.pdf,2,- Administrative support professional,5.0,Not specified,Not specified,- Organizational skills,"This administrative support professional has several years of experience in various roles, including as a customer service advocate and a medical device repair technician. They have a high level of education and strong language skills. Their key skills include logistics and distribution management, production and operations supervision, and excellent communication skills. They are able to work well in both individual and team environments and are detail-oriented and resourceful. They have experience in customer service and technical support, and are able to handle a variety of tasks efficiently.
The candidate is a Production Team Lead with 20+ years of experience and a Post Secondary Training Certificate in Logistics and Supply Chain Management. They are fluent in English and have strong skills in managing employees, problem-solving, and customer service. They also have experience as a Customer Service Representative and in the military as a Communications Specialist. Their key skills include mechanical and hand tool proficiency, blueprint reading, soldering, and wiring.
","[-0.01084872  0.01684059  0.00233109 ... -0.01346191 -0.01599592
  0.00397918]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.02451155 -0.00988739  0.02261429 ... -0.02114997 -0.01340814
 -0.02712187]","[ 0.00148915  0.00193465 -0.00364033 ... -0.01299503 -0.01685769
  0.00821647]"
3,10395944.pdf,3,Line Service Technician,3.0,Associate of Applied Science in Aviation Pilot Training,None mentioned,"Great People Skills, Microsoft Office, Fueling Aircrafts, Airport Ramp Knowledge, Private Pilot Knowledge","This candidate is a sophomore student at Southwestern Illinois College in the Aviation Pilot Program with a total of 42 flying hours. They have been working towards their Private Pilot Certificate at Ideal Aviation while also working as a Line Service Technician. They have experience with fueling, marshaling, and cleaning aircraft, as well as knowledge of airport ramp operations and aircraft management. They also have experience as a Ramp Agent and Team Member, demonstrating skills in customer service, organization, and time management. They have an Associate of Applied Science in Aviation Pilot Training and plan to transfer to complete a Bachelor's in Aviation Management. They are a 19-year-old with a high school diploma and live in Freeburg, Illinois.
This candidate is a highly skilled Pilot with experience in customer service and leadership. They have a strong background in aviation and are a fast learner. They are proficient in verbal communication and have excellent knowledge of aviation. They are looking to enter the commercial world after completing all of their ratings. They have a high level of education and are fluent in English.
","[-0.01303948 -0.0072365   0.0012974  ... -0.02325328 -0.02423193
  0.0120884 ]","[-0.01313052 -0.01678813  0.02349811 ... -0.01364364 -0.00564428
 -0.00466739]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00501088 -0.01291368  0.01521922 ... -0.02188263  0.00265204
  0.0064102 ]","[-1.38567081e-02 -1.71802249e-02  1.34118283e-02 ... -2.07556225e-03
 -1.48903998e-02 -9.13374097e-05]"
4,10428916.pdf,4,Recreation & Sports Coordinator,5.25,"TRX Qualified Instructor, ACSM Exercise Physiologist, Personal Trainer, AHA CPR/AED & First Aid certificates",None mentioned,"Assisting in daily supervision and administration of facility, planning and organizing recreation leagues and events, managing and conducting health and wellness assessments, supervising staff, providing exceptional customer service, budget management, and administrative support.","This candidate is a Recreation & Sports Coordinator with over 8 years of experience in the field. They have a Bachelor's degree and are certified as an ACSM Exercise Physiologist, TRX Qualified Instructor, and Personal Trainer. They are also trained in AHA CPR/AED & First Aid. Their key skills include program planning, event coordination, budget management, and customer service. They have experience supervising staff and managing facilities, as well as conducting health and wellness assessments. They have also served in a leadership role at the Center for Disease Control and Prevention's annual program.
This candidate is a highly qualified Progressive Exercise Specialist with two years of experience. They hold a Bachelor of Science in Kinesiology from East Carolina University and have strong skills in Microsoft Office, budget allocation, and interpersonal communication. They have also demonstrated their dedication and professionalism through their involvement in the Center for Disease Control and Prevention Wellness on Worksite committee. They are a valuable asset to any organization and have the ability to effectively handle various projects and contribute to team growth.
","[-0.01091816 -0.02344488  0.004819   ... -0.0178283  -0.01735913
 -0.00899458]","[-0.0101023  -0.00204861  0.00054735 ... -0.02864417  0.0051174
 -0.0098042 ]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[ 0.00113777  0.00047762  0.00181722 ... -0.0159401  -0.0099706
 -0.02709431]","[-0.00878614 -0.01230982  0.00600672 ... -0.02805769 -0.01268524
 -0.01782256]"
5,10466583.pdf,5,Floral Designer,6.75,Medical Assistant from Northwestern College,None mentioned,"Customer service, inventory control, employee scheduling, cash handling, floral design, organizing, placing orders, multitasking.","This is a Floral Designer with over 10 years of experience in customer service and floral design. They have a high school diploma and are fluent in English. Key skills include inventory control, employee scheduling, cash handling, and placing orders in person and over the phone. They have experience designing arrangements for weddings and corporate events, as well as maintaining showroom displays. They also have experience as a cashier and manager, with responsibilities including bank deposits and maintaining visually appealing displays.
","[-0.01585895 -0.00889405 -0.00264427 ... -0.00915349  0.00074089
 -0.02014299]","[-0.01986848 -0.00382642  0.02414198 ... -0.02490463  0.00110536
 -0.02790266]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.02181827 -0.01533811 -0.00274035 ... -0.00966797 -0.00617966
 -0.01527279]","[-0.0142269  -0.0151596  -0.0067522  ... -0.01646012 -0.00205095
 -0.00856504]"
6,10527994.pdf,6,"Substitute Teacher, Maintenance Technician, Sales Associate",4.75,Bachelor of Arts in Business Administration Management,None mentioned,"Outlook, Excel, Word, PowerPoint, QuickBooks, OneNote, teaching, classroom management, communication, customer service, inventory management, maintenance, sales, merchandising, business administration","Experienced Substitute Teacher with over 4 years of experience in education and a Bachelor of Arts in Business Administration Management. Skilled in Microsoft Office programs including Outlook, Excel, Word, PowerPoint, QuickBooks, and OneNote. Fluent in English and able to establish positive relationships with students, parents, and colleagues. Previous experience as a Maintenance Technician and Sales Associate, with strong skills in inventory management, customer service, and maintenance procedures.
","[-0.01089765 -0.01688935 -0.01083063 ... -0.01601808 -0.01935573
  0.01298872]","[-0.01214754 -0.03125668  0.00358977 ... -0.03297464 -0.00097918
 -0.00643275]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[ 0.00295438 -0.02035241 -0.01367126 ... -0.02602946  0.00871511
 -0.01970875]","[-0.01688619 -0.02009824 -0.02640434 ... -0.03899033  0.00360864
 -0.00715828]"
7,10554236.pdf,7,Financial Accountant,0.66,Bachelor's degree,None mentioned.,"Financial planning, reporting, analysis, critical thinking, accounting operations, ERP software, facilitation, reconciliation, results-oriented.","Experienced Financial Accountant with a Bachelor's degree and proficiency in Enterprise Resource Planning (ERP) software. Skilled in financial planning, reporting, and analysis within the Department of Defense. Accomplishments include identifying and resolving accounting issues and developing automated tools that resulted in significant cost savings. Also recognized for critical contributions to the successful deployment of DEAMS and fiscal year-end close. Previous experience as a Resource Advisor, managing a $4.6M budget and providing financial advice and decision support to the Commander. Fluent in English.
700th CONS to identify and resolve any issues that are identified

This resume outlines the experience of a Staff Accountant with 2 years of experience and a Bachelor's degree. The candidate is fluent in English and has key skills in budget management, financial oversight, and data analysis. They have experience in providing feedback and monitoring systems such as the Defense Travel System and General Accounting and Finance System. They have also taken on additional responsibilities such as assuming the role of Billing Official and completing self-inspections and audits with zero findings. The candidate has also collaborated with other departments to develop automated tools for identifying and resolving financial issues.
This resume outlines the experience of a Chief, Reports Branch with two years of experience in the position. The candidate holds a Bachelor's degree and is proficient in Defense Connect Online. Key skills include problem-solving, partnership with DFAS Denver, and training delivery. The candidate also has experience in managing reports, monitoring errors, and ensuring fund balances are reconciled. They have successfully participated in a reorganization and were responsible for defining missions and functions for AM&C. Additionally, they were the Limestone point of contact for an initiative to eliminate suspense accounts throughout the agency.
Experienced Chief of Accounts Payable with 7 years of experience and a Bachelor's degree. Fluent in English with key skills in financial management, compliance, and process improvement. Successfully reduced reconciliations and transitioned workload, resulting in improved accuracy and efficiency. Managed a team of over 120 employees and collaborated with clients and command executives to address workload spikes and improve customer service. Conducted personnel feedback sessions and prepared performance appraisals.
Experienced Chief of Recon and Reports Branch with 22 years of experience in the financial industry. Holds a Bachelor's degree and is fluent in English and German. Skilled in establishing Employee Performance Plans and resolving system deficiencies using Louis II data retrieval software. Responsible for budget management, responding to inquiries, and participating in video teleconferences and briefings. Supervised 22 employees and coordinated with other organizations to ensure accurate financial data.
This resume highlights the experience of a Chief, Accounts Payable Branch with 4 years of experience and a Bachelor's degree. They are fluent in English and have strong skills in directing subordinates, managing resources, conducting program analyses, and ensuring compliance with applicable laws and policies. They also have experience in personnel management, equal opportunity programs, and safety and health regulations. They have strong communication and leadership skills and have successfully managed workload changes and strengthened partnerships with customers.
The candidate has 2 years of experience as an Accountant with a Bachelor's degree. They have knowledge of Louis II data retrieval software and have prepared budget justifications and controlled supply purchases. They have excellent communication skills and have participated in video teleconferences, conference calls, and briefings. They were hand-selected to provide training to over 400 base level personnel. They also have experience as a Supervisor in an Accounts Control Branch.
Experienced Chief of Accounting with over 20 years of experience in financial reporting and statements. Holds an Associate's degree in Accounting, with a strong understanding of commercial and government accounting principles. Fluent in English and proficient in interpreting and analyzing financial data. Skilled in identifying and resolving problems, attending workshops to contribute to accounting policy changes, and providing technical assistance. Certified in Managerial Accounting, Interested-Based Bargaining Training, Auditing Methods and Concepts, Organizational Leadership, and Management Development.
This resume belongs to a Defense Financial Manager with 15 years of experience and a CDFM certification. They have a degree in accounting and are fluent in English. Their key skills include accounting, general accounting, accounts payable, and program management. They are also a member of the American Society of Military Comptrollers.
","[-0.01047151 -0.02340228  0.00433969 ...  0.00392436  0.00456534
 -0.01453322]","[ 0.01137581 -0.01731293  0.02060643 ... -0.02826601 -0.00859337
 -0.01471347]","[-0.01228933 -0.00414162  0.02143195 ... -0.02866408 -0.01679123
 -0.01535009]","[-0.00517294 -0.01218515 -0.00174667 ... -0.01111224  0.00809789
 -0.02884074]","[-0.01217331 -0.02191866 -0.01593597 ... -0.02346128  0.00499005
 -0.00927586]"
8,10603337.pdf,8,Sales Associate,6.66,High School Diploma,English (assuming since text is in English),"customer service, sales, inventory management, payment processing, production scheduling, fashion coordination, photography, research, tour guiding","This sales associate has 5 years of experience and holds an Associates degree from Borough of Manhattan Community College. They are fluent in photo, credit, and client management and have experience with digital cameras, editing, and fashion. They are skilled in customer service, inventory management, and sales techniques.
","[-0.02751806 -0.00490191  0.01610386 ... -0.0193381  -0.02061833
 -0.00463239]","[-0.02251769  0.01516682  0.00162456 ... -0.02268564  0.00654344
  0.00431169]","[ 0.00954077 -0.0090752  -0.00940962 ... -0.01259643  0.0075736
 -0.01774386]","[-0.00732089 -0.01315898 -0.00326148 ...  0.01063224  0.00019584
 -0.00568848]","[-0.01437638  0.00538951  0.01026325 ... -0.02992795 -0.01195421
 -0.00713596]"
9,10641230.pdf,9,IT Management,5.8,Bachelor's degree,English,"hardware troubleshooting, software management, networking, task automation, server technologies, digital graphic design, client + server side programming, Microsoft Office, Adobe Creative Suite","Experienced IT Management professional with a strong attention to detail and a wide range of skills. With over 8 years of experience in troubleshooting and managing hardware and software, as well as networking, task automation, server technologies, digital graphic design, and programming, including proficiency in Microsoft Office and Adobe Creative Suite. Holds a CompTIA A+ certification, advanced troubleshooting skills, and experience in virus and spyware removal, computer diagnostics and repair, and web development. Skilled in optimizing and performance tuning, website enhancement, and search engine optimization (SEO). Proficient in numerous operating systems, protocols, and programs, and has experience in small business management and information security. Capable of managing multiple projects and priorities, with a strong background in content management
This candidate is an experienced IT professional with a degree in Information Technology and a range of skills including Batch Scripting, troubleshooting medical technology, and programming a cloud storage website. They have 8 years of work experience, including IT management and consulting roles, and are A+ certified. They are also proficient in various programming languages and have experience with website management and social media administration.
","[ 0.00488487 -0.02426141 -0.00754179 ... -0.0062549   0.00810709
 -0.00333029]","[ 0.01137581 -0.01731293  0.02060643 ... -0.02826601 -0.00859337
 -0.01471347]","[ 0.01953975 -0.00426479  0.00223686 ... -0.01855812  0.00528621
 -0.02206015]","[ 0.01010236 -0.01190588 -0.00831881 ... -0.02507621  0.00723403
  0.00250063]","[-0.00482519 -0.00517581  0.00085025 ... -0.02524459  0.0057368
 -0.00601062]"
10,10724818.pdf,10,"Executive Assistant, Sales",5.0,Not specified,Highly versed in linguistics,"Time management, attention to detail, Microsoft Office proficiency, invoice processing, travel administration, scheduling, meeting planning, data organization, multitasking, administration, reporting, planning.","This executive assistant has over 5 years of experience and a Bachelor's degree. They are fluent in multiple languages and have strong skills in time management, attention to detail, Microsoft Office, invoice processing, travel administration, scheduling, and meeting planning. They have successfully implemented process improvements and organized data, and have experience in multitasking and administration tasks. They have also received recognition for cost-saving measures. In their most recent role, they coordinated webinars and managed travel and meeting schedules for executives. They have also worked as a freelance assistant and as an executive assistant for a large territory.
Rachel Lascalla has over 5 years of experience as a Supervisor in logistics and vendor maintenance. She holds a Bachelor's degree in Anthropology with an emphasis in Linguistics from Hunter College. Rachel is skilled in Microsoft Office Suite, calendaring, critical thinking, and travel arrangements. She is also fluent in English and has experience in coordinating customer-facing webinars and providing logistical support to visiting executives. Rachel is a highly trusted and organized individual who has successfully managed training classes and conferences for McAfee's New York City office and The Venetian in Las Vegas.
","[-0.03383021 -0.00840486 -0.00516082 ... -0.01612468 -0.0099396
  0.00115435]","[-0.01717722 -0.01722971 -0.00749945 ... -0.02540497 -0.01918495
 -0.00617081]","[-0.01456531  0.00648753  0.0026742  ... -0.03183078  0.00454679
 -0.01810927]","[-0.01903771 -0.01625867 -0.0072268  ... -0.01134341 -0.00300467
 -0.00358093]","[-0.00242363 -0.0029033   0.01630563 ... -0.03250355 -0.00032988
 -0.00532188]"
11,10816645.pdf,11,Group Fitness Coordinator,3.42,Bachelor's Degree,None mentioned,"Ability to design, develop, implement, and evaluate health and wellness programs; strong interpersonal skills; innovative in designing and carrying out projects; advanced understanding and experience with the wellness industry; maintain high level of organizational, communication and service oriented skills; basic understanding of fitness testing and evaluation concepts; expertise in Les Mills Bodypump program.","Experienced Group Fitness Coordinator with over 3 years of experience and a Bachelor's degree in Psychology and Government. Skilled in designing, implementing, and evaluating health and wellness programs, as well as educating members and community about health-related topics. Proficient in marketing and maintaining high levels of organizational, communication, and service-oriented skills. Knowledgeable in fitness testing and evaluation concepts and trained in CPR, First Aid, and AED. Fluent in English and proficient in Les Mills Bodypump.
","[-0.01695175 -0.00808595 -0.00807911 ... -0.0375155  -0.00778495
 -0.02100157]","[ 0.00896644 -0.01426537  0.01694645 ... -0.02622905 -0.00637073
 -0.01310188]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.01415641  0.00165976 -0.00874442 ... -0.02434747 -0.00222163
 -0.02870031]","[-0.01347309 -0.00950575 -0.01417942 ... -0.04684224 -0.00290949
 -0.02644448]"
12,10818478.pdf,12,Retail Sales Consultant,5.25,High School Diploma,English,"Retail sales, customer service, team management, cash handling, communication, merchandising","This summary is for an experienced Retail Sales Consultant with a high school diploma and strong language and key skills. Express Scripts is the current employer, where the candidate has been since September 2015. They have experience in supervising a team, meeting sales goals, and providing excellent customer service. They have also received recognition as ""Employee of the Month"" and consistently received high ratings on performance reviews. Prior to Express Scripts, the candidate worked at Prime Communication and Radio Shack, where they demonstrated skills in sales, inventory management, and customer service. They have a high school diploma from Camden County High School and possess strong administrative, communication, and merchandising skills.
","[-0.01613364 -0.01789559  0.00615695 ... -0.01208379 -0.01973643
 -0.0051412 ]","[-0.02251769  0.01516682  0.00162456 ... -0.02268564  0.00654344
  0.00431169]","[ 0.01953975 -0.00426479  0.00223686 ... -0.01855812  0.00528621
 -0.02206015]","[-0.01423152 -0.02330489  0.00065487 ... -0.01776143 -0.01155922
 -0.02388906]","[-0.00999426 -0.00555602  0.00078245 ... -0.02919377 -0.02009373
  0.00159037]"
13,10820510.pdf,13,QA / QC Manager,21.0,ASNT Level III (Certificate # 245052),Not mentioned,"Microsoft Word, Excel, Weld Pro, Auto-Cad, WPQ's, WPS's, NDE training, ASME Level III procedures, construction management, quality control, crew management, welding (SMAW, FCAW, GMAW, and SAW), AWS Certified CWI, API Certified TES, API Certified 653.","Matt Halderman is a highly experienced QA/QC Manager with 21 years of experience in the Oil and Gas Industry. He specializes in repair/maintenance and new construction of above ground storage tanks and holds a CWI certification from AWS, as well as API certifications in TES and 653. He is also an ASNT Level III and possesses strong skills in API, Auto-Cad, Microsoft Word and Excel, and various welding techniques.
","[ 0.00357586 -0.01266261 -0.00833559 ...  0.00793404 -0.01766812
  0.00538975]","[-0.02034826 -0.00740771  0.00898759 ... -0.02813619  0.00063588
 -0.02571066]","[-0.01074091 -0.00379033  0.00434123 ... -0.03971762 -0.0204262
 -0.02937256]","[-0.01084065 -0.01863322 -0.00795808 ... -0.01488175 -0.02408113
  0.00540998]","[ 0.00265105 -0.01239636 -0.00250734 ... -0.01240988 -0.01977465
  0.00543735]"
15,10898339.pdf,15,"Sales Associate, Lawn Care Technician, Handyman",9.34,"High School Diploma (2011), Liberal Arts degree from Clackamas Community College (2013), Liberal Arts degree from Oakland Community College (2016)",None mentioned,"Customer service, communication, organization, lawn care techniques, landscaping, snow plowing, handyman services, power washing, painting, repairing","Experienced Sales Associate with over 7 years of maintenance work experience. Holds a high school diploma and has completed liberal arts courses at Clackamas Community College and Oakland Community College. Fluent in English and skilled in customer service, communication, and following instructions. Also has experience in lawn care and handyman services, including snow plowing, power washing, and painting. A dependable, hard worker with a strong work ethic and the ability to quickly learn and complete tasks with satisfaction.
","[-0.00780841  0.00289507  0.01589475 ... -0.01757555 -0.00551221
 -0.00286198]","[-0.00380662 -0.00632043  0.00895177 ... -0.04505266  0.00260848
 -0.00307044]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00130251  0.00792751  0.00174418 ... -0.00616085  0.00189355
 -0.02472048]","[-0.0117328  -0.00223702  0.01005009 ... -0.03534357  0.00673745
 -0.00816281]"
16,10909720.pdf,16,Master Teacher,10.66,Certified in Early Childhood Education,None mentioned,"Home schooling knowledge, Calm and patient, Strong communicator, Toddler and preschool curricula, Classroom management, Patience, Communication with children, Stress management, Early Childhood Education, Child Nutrition, Child Abuse Awareness, Emergency Preparedness, Behavior Management, Child Development, Positive reinforcement, Language development, Family style meals, Parent/teacher conferences, Personal profiles, Observation, Differentiated learning, Support, Field trips and Promoting student participation.","This is a Master Teacher with over 20 years of experience in early childhood education. They have a degree in Early Childhood Education and strong communication skills. They are also certified in Early Childhood Education and have experience with Head Start programs. Their key skills include home schooling knowledge, calm and patient demeanor, and expertise in toddler and preschool curricula, classroom management, and behavior management. They have also conducted parent-teacher conferences and implemented family-style meals.
2 years of experience as a teacher aide with a Bachelor's degree in Early Childhood Education. Fluent in English and knowledgeable in Spanish. Skilled in developing professional relationships with parents, teachers, directors, and therapists. Proven ability to maintain daily records of children's activities, establish a safe play environment, and distribute educational assessments to parents. 

Experienced teacher aide with 2 years of experience and a Bachelor's degree in Early Childhood Education. Fluent in English and knowledgeable in Spanish. Skilled in developing professional relationships, maintaining records, and creating a safe play environment for children. Organized field trips and distributed educational assessments to parents. Also has experience running a nursery and teaching Sunday school.
","[-0.01274156 -0.01199966 -0.01589972 ... -0.02340036 -0.0149196
 -0.00588752]","[ 0.00319152  0.00219007 -0.02134721 ... -0.01095516 -0.0100657
 -0.02370206]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00033061  0.01204033 -0.02194511 ... -0.0184732  -0.00240741
 -0.02658306]","[-0.00814887  0.00809697 -0.02347342 ... -0.02826152 -0.01589549
 -0.01375446]"
