,Filename,Unnamed: 0,job title,years of experience,highest level of education,language skills,key skills,Summary,job title embedding,highest level of education embedding,language skills embedding,key skills embedding,Summary embedding
17,10945968.pdf,17,"Global IT Project Manager, IT Project Manager, Support Analyst, System Administrator",20.0,Not mentioned,Not mentioned,"Project management, Windows, Windows Office Suites, Citrix, Active Directory, JIRA, Trello, Service Now ITSM, Java development, UAT (User Acceptance Testing), data center transformation, IT infrastructure, IT hardware acquisition, system administration, support analysis.","IT Project Manager with over 20 years of experience in the Aviation Ground Handling sector. Holds a Bachelor's degree in Information Technology. Skilled in Windows, Windows Office Suites, Citrix, Active Directory, JIRA, Trello, and Service Now ITSM. Fluent in English and has experience managing global teams and collaborating with parent company's IT team. Experienced in gathering business knowledge and managing projects from development to deployment. Currently involved in a Data Centre transformation project and has previous experience managing IT infrastructure for new airport start-ups and company expansions.
The candidate is a Support Analyst and System Administrator with 12 years of experience. They hold a Bachelor of Science degree in Mathematics and have strong language skills in French. Their key skills include project management, IT technical support, network administration, and report development. They have experience working with various IT systems and have provided front line support to UK Cargo Terminals. In their free time, they enjoy playing golf and are a sports fan. They have a passion for English soccer, rugby, college football, and watching the Cubs. They also regularly work out at a gym.
","[-0.00500015 -0.01611634 -0.00379208 ... -0.02944128 -0.01142891
  0.02129095]","[-0.01074091 -0.00379033  0.00434123 ... -0.03971762 -0.0204262
 -0.02937256]","[-0.01074091 -0.00379033  0.00434123 ... -0.03971762 -0.0204262
 -0.02937256]","[ 0.01526001 -0.03046763 -0.01601974 ... -0.01738201 -0.00846178
  0.008691  ]","[-0.0070264  -0.01399967  0.00134235 ... -0.01957829 -0.00245393
  0.00130998]"
18,11152490.pdf,18,Deputy Principal,7.5,Certified Lean Six Sigma Black Belt,None mentioned,"Strategic planning, policy development, budget management, process evaluation, program development, grant management, building relationships, managing by influence, analytical skills, strategic thinking, problem-solving, leadership, communication, human resources, employee relations, customer service, tech savvy, proficient with Microsoft Office Suite and website development tools.","Experienced Deputy Principal with 6 years of experience and a Master's degree in education. Skilled in strategic planning, policy development, budget management, and program development. Fluent in English and proficient in Microsoft Office Suite and website development. Certified Lean Six Sigma Black Belt. Demonstrated success in building relationships, managing staff, and improving student learning outcomes. Strong leadership, communication, and problem-solving skills. Currently overseeing a campus of 371 students and 35 staff members, ensuring compliance with laws and policies, and maintaining positive community relationships. Previous experience includes coordinating district and campus progress, aligning accountability programs, and providing staff development and training.
The candidate is a Coordinator of College & Career Readiness with four years of experience and a Bachelor's degree. They are fluent in one language and have strong skills in project management, data analysis, and curriculum development. They regularly meet with campus leadership teams and directors to provide information on accountability systems and implement staff development activities. They are knowledgeable about state, district, and school regulations and policies and are responsible for maintaining and filing reports and documents. They also monitor the progress of improvement plans and attend campus leadership meetings. Additionally, they have experience as a Fraud Analyst, where they analyzed suspicious activity and recommended solutions to prevent future losses. They also maintained a working knowledge of fraud prevention software and completed database entries for suspicious activity reports.
The candidate has over 10 years of experience in various roles related to education and technical support. They hold a degree in a related field and are fluent in English and Spanish. Their key skills include planning, data analysis, and web design. They have experience in managing and evaluating educational programs and providing technical support for a variety of financial services.
This candidate is a highly experienced Human Resource Manager with 3 years of experience and a Bachelor's degree. They are fluent in English and have strong skills in recruiting, training, and employee relations. They have experience in managing human resource activities, conducting training programs, and maintaining employee benefits programs. They are also knowledgeable in legal compliance and maintaining human resource policies and procedures.
This individual has over 15 years of experience in human resources and holds a Master of Arts degree in Organizational Management. They are also fluent in English and have skills in Dreamweaver, Illustrator, Photoshop, Acrobat Pro, Final Cut Pro, and MS Office. They have completed various certifications, including Mid-Management Principal Certification, Master Certificate in Six Sigma, and Certificate of Achievement in Lean Six Sigma Black Belt. They have also completed a Teacher Certification and have a Bachelor of Science degree in Health Care & Business Administration.
","[ 0.00598851 -0.00077237 -0.01340063 ... -0.02999602 -0.01370139
  0.02268416]","[-0.01096053 -0.01023742 -0.00823546 ... -0.02437161 -0.00530618
 -0.01086679]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.01588937 -0.02046167  0.00891093 ... -0.03602264 -0.01050239
 -0.01288959]","[ 0.00956347 -0.01111646 -0.01183322 ... -0.03575848 -0.01225133
 -0.00775829]"
19,11155153.pdf,19,Mechanical Designer,28.0,Not specified,Not specified,"3D modeling, BOM generation, weight distribution analysis, hydraulic components, troubleshooting, design improvement, source control, manifold design, dust control system design, 3D parametric modeling, tube and pipe design.","Experienced Mechanical Designer with over 28 years of experience and a strong understanding of hydraulic components. Holds a degree in design engineering and is proficient in Creo Parametric, Windchill, and Autodesk Inventor 2015. Skilled in 3D modeling, weight distribution analysis, and troubleshooting hydraulic circuits. Has a proven track record of implementing cost-saving designs and improving equipment performance. Fluent in English and able to work independently or in a team environment.
Highly experienced Planning Engineer with over 10 years of experience in the aviation industry. Holds a Bachelor's degree in Engineering and is fluent in English and Spanish. Skilled in model generation and manipulation using Autodesk Inventor Pro and Vault Professional. Capable of conducting weight distribution analysis and presenting findings to defend assumptions. Proficient in creating 3D models for stress analysis and interpreting results to make adjustments. Knowledgeable in material selection and component interface. Experienced in vendor/purchasing Q&A and customer interaction. Previous roles include Planning Engineer at Applied Aerodynamics Inc. and Senior Manufacturing Planner at AeroParts Manufacturing and Repair.
Experienced Senior Manufacturing Planner with 2 years of experience and a Bachelor's degree. Skilled in contracts, customer service, engineering, and purchasing. Proficient in English and knowledgeable in process improvements. Responsible for creating and reviewing job folders and developing manufacturing plans to meet customer requirements. Also responsible for providing technical and estimating support for production orders and repair station planning. Experienced in designing electro-mechanical assemblies for military and commercial applications using SolidWorks.
Experienced Senior Mechanical Designer with over 20 years of experience in the aerospace and nuclear industries. Holds a degree in mechanical engineering and is proficient in AutoCAD-R14 and R12. Skilled in electro-mechanical packaging, data acquisition electronics, and instrumentation design. Fluent in ANSI Y14.5M-1982 and ASMEY14.5-1994 requirements and has experience with DOD-STD-100C and MIL-STD-100E standards. Experienced in presenting design proposals to management and customers. Specializes in design and documentation of projects related to remote handling of transuranic radioactive waste.
This resume belongs to a Senior Mechanical Designer with 6 years of experience and an Associate's degree in Drafting Technology. They are skilled in mechanical engineering, aerospace design, and electro-mechanical packaging, and have experience with AutoCAD-R12, DOD-STD-100C, MIL-STD-100E, and corporate standards. They have completed hydraulics training and hold a Private Pilot's license. They are also certified in Pro/Engineer and have experience with FEA and material selection. This candidate has strong communication and leadership skills, and has provided technical assistance to internal engineering teams.
This candidate has over 30 years of experience as a Mechanical Designer, with a Bachelor's degree in Mechanical Engineering. They are proficient in English and have experience with customer interaction, 3D modeling, and hydraulic troubleshooting. They are highly skilled in computer programs such as Microsoft Suites, Autodesk Inventor Pro, and Pro/Engineer, and have received honors and awards for their academic achievements and work performance.
","[-0.02017128  0.00011327 -0.01680037 ... -0.00505974 -0.00643044
 -0.00675535]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.01957602 -0.00178904 -0.01800235 ...  0.00546718 -0.01882988
  0.00310327]","[-0.03037421 -0.01506783 -0.02205178 ... -0.01099939 -0.00982656
 -0.00410489]"
21,11188218.pdf,21,Customer Advocate,7.5,"Formally educated in illustration, photography, and basic graphic design",None mentioned,"Outstanding customer service, technologically savvy, call center experience, secretary skills, loyalty and dedication to company mission, Microsoft Office Suite, Peachtree Accounting, schedule management, telephone skills, travel booking, minute taking, critical thinking, creative problem solving, cellular expert, troubleshooting smartphones and network connections, Payroll assistance.","This customer advocate has eight years of experience and a high school diploma. They are proficient in Microsoft Office Suite, Peachtree Accounting, and have expertise in cellular technology and troubleshooting. They have experience in a call center environment and are skilled in customer service and multitasking. They have also assisted with payroll and have experience in research and process improvement. Their professional experience includes answering high-volume calls, actively listening to clients, and providing individualized solutions. They are able to maintain professional and personable conversations with customers while updating account information.
With over 15 years of experience as an administrative assistant and customer service representative, I have a Bachelor's degree in Fine Art and Biology and am fluent in English. My skills include office and accounting tasks such as accounts payable, accounts receivable, and payroll, as well as providing excellent customer service and executive administrative assistance. I have also demonstrated strong problem-solving and critical thinking abilities in my previous roles.
This candidate has over 5 years of experience in network and wireless device troubleshooting. They hold a degree in a related field and are proficient in multiple languages. Their key skills include network and wireless troubleshooting.
","[-0.00251142 -0.00833993  0.00504644 ...  0.00473967 -0.0103221
 -0.01491345]","[ 0.00446071 -0.01085352 -0.01099616 ... -0.01177419 -0.00094985
 -0.03176957]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00652405 -0.02235077  0.00451951 ... -0.01411628 -0.01196638
  0.00040374]","[-0.01206722 -0.00146526  0.00236632 ... -0.02862149 -0.00792534
  0.00218876]"
22,11257723.pdf,22,"General Liability Claims Representative, Auto Claims Unit Manager, Automobile Liability Claims Representative, Senior General Liability Claims Representative",12.0,B.S. in Journalism,None mentioned,"Claims file management processes, litigation resolution, strong interpersonal and communication skills, self-directed, team player, critical thinker, coverage analysis, customer service, presentations, litigation management, claim investigations, time management.","This resume outlines the experience and skills of a General Liability Claim Representative with several years of experience in the insurance industry. The candidate has a strong background in claims file management, litigation resolution, and communication skills. They have a Bachelor's degree and are fluent in English. They have successfully managed litigated claims and have been recognized for their outstanding customer service. They have also held positions as an Auto Claims Unit Manager, Automobile Liability Claims Representative, and Senior General Liability Claims Representative.
This resume belongs to a Counsel with a B.S. in Journalism from Southern Illinois University and several years of experience. They have strong skills in coverage analysis, customer service, presentations, litigation management, claim investigations, and time management.
","[-0.01298567 -0.0150388  -0.00379893 ... -0.02449362 -0.03332074
  0.01188719]","[-0.01446075  0.0045959   0.01694779 ... -0.02820358 -0.00306073
 -0.01251854]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.01089912  0.00304437  0.00224704 ... -0.0236565  -0.00488286
 -0.02120518]","[-0.00580985 -0.01266038  0.00583968 ... -0.04960747 -0.01882486
 -0.00810662]"
24,11360471.pdf,24,Material and Tooling Control Lead,6.5,Certified forklift operator,None mentioned,"Manufacturing management, electrician, forklift operation, blueprint reading, communication, production supervision, safety training, troubleshooting, equipment operation","20/20 vision, memory improvement and relaxation techniques.

This is a resume for a Material and Tooling Control Lead with 8 years of experience. The candidate has a high school diploma, and is proficient in blueprint reading and has strong communication skills. They have experience operating heavy duty construction equipment, including forklifts, and have worked as a bale inspector, chef, electrician apprentice, and co-owner/martial arts instructor. They have experience in implementing workplace policies and procedures, troubleshooting equipment, and maintaining a safe and clean environment.
This candidate is an experienced Electrical Forman with 9 years of experience and a High School Diploma. They are proficient in operating heavy machinery and have management experience for up to 20 people. They also have strong language skills and are able to communicate effectively with project teams. Their key skills include interpreting schematics, resolving complex electrical problems, and providing excellent customer service. They hold an Electricians License from the Northeast Florida Builders Association.
","[-0.01312887 -0.02484978 -0.01558917 ...  0.02230964 -0.01129271
  0.00338927]","[ 0.00701059 -0.02475636 -0.02300207 ...  0.00206521 -0.00868633
 -0.01247637]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[-0.00991325 -0.01689609 -0.00814444 ...  0.00797944 -0.00455733
  0.00597633]","[-0.01278886 -0.00431163  0.02005604 ...  0.00094056 -0.00936737
 -0.00660305]"
25,11409460.pdf,25,"Buyer/Planner, Logistics Analyst, Warehouse Executive",9.0,Bachelor of Science in Petroleum Engineering,"English, Portuguese, Spanish (trilingual)","Solid Works, CAD, Matlab, MS Office, ERP, forecasting, leadership, logistics, materials, personnel management, pricing, procurement, production management, qualitative research, quality control, supply chain, team-oriented, fast learner","5 years of experience, Bachelor of Science in Petroleum Engineering, trilingual individual

This candidate is a highly skilled Buyer/Planner with 5 years of experience and a Bachelor of Science in Petroleum Engineering from Texas A&M University. They are fluent in English, Portuguese, and Spanish and possess strong skills in Solid Works, CAD, Matlab, MS Office, and process implementation. In their current role, they plan and execute forecasting strategies, negotiate with suppliers, and work closely with cross-functional teams. They also have experience as a Logistics Analyst and Warehouse Executive, where they managed inventory, coordinated shipping orders, and ensured efficient warehouse operations. This candidate is a fast learner and is seeking an internship or full-time position in a team-oriented environment to continue utilizing their
This candidate has over 10 years of experience in the field of Supply Chain, with a focus on specification, strategy, and planning. They hold a high level of education and possess strong language skills. Their key skills include expertise in supply chain management and strategic planning.
","[-0.00813357 -0.01827008  0.00045844 ... -0.0205437  -0.00263732
  0.01395293]","[-0.00142017 -0.01565457  0.01438493 ... -0.022474   -0.00157233
  0.00083934]","[-0.01928183  0.0143157   0.02677738 ... -0.01771916  0.00120843
 -0.01775889]","[-0.01596947 -0.00441227 -0.01237034 ... -0.0125103  -0.00705829
 -0.01109065]","[-0.02688064 -0.00785711  0.00798569 ... -0.00982646 -0.00532605
  0.00251075]"
26,11522068.pdf,26,Group Fitness Instructor,0.25,high school diploma,basic Spanish,"coaching, leadership, communication, planning, organizational skills, time management","Experienced Training and Development professional with strong leadership and relationship-building skills seeking a position as a Group Fitness Instructor. With 8 weeks of training in fitness classes and previous experience as an Assistant at an after school program, I have strong communication, planning, and organizational skills. I am fluent in English and have basic proficiency in Spanish. My key skills include team building, team leadership, time management, coaching, and teaching. I hold a high school diploma with a GPA of 3.98 and am currently a full-time student at Collin College.
","[-0.02366563 -0.00591978 -0.01700799 ... -0.04301861  0.0005374
 -0.01357135]","[-0.02297424  0.01006863  0.00036871 ... -0.02192695  0.00792101
 -0.00041718]","[-0.01946579  0.01046797  0.01824067 ... -0.01553179 -0.00668371
 -0.0090863 ]","[-0.01791406 -0.01248594 -0.00843051 ... -0.02010787  0.00326878
 -0.01791406]","[-0.02890187 -0.00281211 -0.01838127 ... -0.02565967  0.00521398
 -0.02360849]"
27,11555549.pdf,27,"Visual Arts Specialist, Student Teacher, Visual Arts Teacher",11.0,"Master's degree in Education, Bachelor's of Arts in Art Education, Bachelor's of Fine Arts in Painting, Associate's of Arts in Graphic Design",None mentioned,"Adobe Creative Cloud (Illustrator, InDesign, Photoshop, Muse), Microsoft Office (Word, Excel, PowerPoint), WordPress, iMovie, teaching and assessing based on National and Ohio Visual Arts standards, displaying and exhibiting student artwork, participating in art competitions and exhibitions, facilitating student art workshops, managing art classroom website.","2006, 2007, 2008, 2009, 2010, 2011

This resume highlights the experience and skills of a Visual Arts Specialist with 11 years of experience in elementary art education. The candidate holds a Masters in Education and has a strong command of Adobe Creative Cloud, Microsoft Office, WordPress, and iMovie. They also possess Ohio Teaching Licensure and are proficient in the Spanish language. The candidate has demonstrated the ability to individualize instruction and assess student artwork based on criteria. They have experience planning and installing student exhibits and participating in various art competitions and exhibitions. The candidate is also involved in professional development through SWOAEA Art Workshops.
This candidate is an experienced art teacher with a Master's degree in Art. They have strong skills in Adobe programs, drawing, and sculpture. They have participated in numerous art exhibitions and have received awards for their work. They are also a member of several art education associations and have presented at conferences. They are fluent in English and have additional language skills.
","[-0.02232    -0.00889261 -0.00212813 ... -0.01665809 -0.00614685
 -0.00982971]","[ 0.00851468 -0.00182139  0.00620292 ... -0.04177734 -0.00226718
 -0.013463  ]","[-0.00992777 -0.00363211  0.02220969 ... -0.03597135 -0.02086446
 -0.01408452]","[ 0.00307505 -0.00631921 -0.01743232 ... -0.01813481 -0.00145866
 -0.03718027]","[-0.00409911 -0.00422142 -0.0301747  ... -0.03001603 -0.01125271
 -0.02335168]"
28,12491898.pdf,28,Construction Laborer,,Not specified,Not specified,"Construction, labor, equal opportunity, opportunity, applicants, employees, race, color, gender, age, religion, national origin, disability, marital status, veteran status, sexual orientation, genetic information, protected by law, employment terms, conditions, hiring, training, promotions, discipline, transfers, leave of absence, termination of employment, human resources, assistance with completing application, write or print, sections of application, attach resume, start date, requested salary, age requirement, authorized to work in the US, sponsorship for work visa required, training, qualifications, knowledge of software packages and computer systems, basic, intermediate, expert, training, degree or diploma, primary school, secondary school, university, other titles or certificates, relevant professional affiliations, work experience, volunteer experience, previous names used, job title, salary, dates, organization name, supervisor's name, supervisor's contact information, reason for leaving.","Experienced Construction Laborer with a strong work history and 18+ years of experience. Holds a high school diploma and is fluent in English. Possesses a variety of skills, including knowledge of relevant software and computer systems. Highly recommended by previous employer and learned of the job opportunity through a company website.
Nombre del Puesto: N/A
Aos de experiencia: N/A
Nivel de educacin: N/A
Idiomas: N/A
Habilidades clave: N/A
free. You are entitled to a free file disclosure if: report to deny your application for credit, insurance, or employment  or to take another adverse action against you  must tell you, and must give you the name, address, and phone number of the agency that provided the information.

This resume is for a job at Dragados USA, with a willingness to work ""at will."" The candidate has agreed to comply with all employment policies and codes of ethics. The job offer is contingent upon successful completion of the company's employee selection process, including background and reference checks and a pre-employment physical exam. The candidate has the right to request a free file disclosure if their credit report is used against them. The job is good for only
This individual has several years of experience and a high level of education in the consumer reporting agency field. They are proficient in language skills and have key skills including providing accurate information, obtaining consent for reports, and handling fraudulent cases. They are knowledgeable about the Fair Credit Reporting Act and the rights of consumers, including the right to request a free file disclosure and credit score. They are also aware of the rights of identity theft victims and active duty military personnel.
[Job Title], with [Number] years of experience, holds a [Highest level of education] and is fluent in [Language skills]. Skilled in compliance management, credit, DC, mail, office, word, and reporting, [Job Title] is a responsible and enthusiastic professional with demonstrated strengths in multi-area management, quality assurance, and service. They are experienced in directing patient care programs and are knowledgeable about healthcare management, hospital practices, and regulatory compliance. [Job Title] is also a compassionate certified nursing assistant with strong organizational skills, team leadership abilities, and problem-solving capabilities. They have experience in claims processing, process improvements, strategic planning, and documentation, and are proficient in multitasking and interdepartmental collaboration.
The candidate is a Supply Chain Specialist with 4 years of experience. They have a high school diploma and a CNA certification from Houston Community College. They are fluent in English and have skills in analysis, project management, team supervision, customer satisfaction, performance evaluation, cross-functional collaboration, revenue generation, policy development, staff training, and profit increase. They have also completed various certifications in heavy equipment operation, OSHA, NCCER, construction site safety, and introductory craft skills. They are also licensed/certified as a Home Health Aide and Certified Nurses Aide.
","[-0.0050294  -0.00820622 -0.00598245 ... -0.03250386 -0.00055385
  0.0193953 ]","[-0.01715166 -0.01719103 -0.00748663 ... -0.02544535 -0.01913323
 -0.00620058]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.01842141 -0.01630446 -0.00768545 ... -0.01241243 -0.00290752
 -0.00141103]","[-0.02269366 -0.01898142 -0.00289624 ... -0.03376032 -0.00518312
  0.00630029]"
29,translated_12491898.txt,29,Construction laborer,,Not specified,Not specified,"Construction, manual labor, technical skills","Experienced construction laborer with a strong skillset and a commitment to equal opportunity. 2 years of experience and a high school diploma. Proficient in various software packages and computer systems. Fluent in English and Spanish. Previous work experience and volunteer work listed on resume. References available upon request.
This resume belongs to a candidate with years of experience in the construction industry. They have a Bachelor's degree and are fluent in English and Spanish. Their key skills include project management, budgeting, and team leadership. They have worked with Almeda-Genoa Constructors and are familiar with their employment policies and codes of ethics. They have no criminal record that would affect their eligibility for employment. The candidate certifies that all information provided is accurate and understands that employment at Dragados USA is at-will.
The applicant has experience working at Dragados USA and is seeking employment at Almeda-Genoa Constructors. They have a Bachelor's degree and are fluent in Spanish. Their key skills include compliance with employment policies and codes of ethics, as well as the ability to successfully complete employee selection processes. They are also aware of their rights under the Fair Credit Reporting Act.
cases, you may have more rights under state scores used in residential real property loans, but you will have to laws.

This individual has several years of experience in consumer reporting and is seeking a position in credit, insurance, or employment. They have a high level of education and are fluent in English. Their key skills include providing information to those with a valid need, obtaining consent for reports to be provided, and seeking damages from violators. They are entitled to a free disclosure of their file every 12 months and have the right to ask for a credit score. They also have additional rights as an identity theft victim or active duty military personnel.
Experienced and highly motivated Compliance Manager with [Number] years of experience in healthcare management and regulatory compliance. Holds a [Highest level of education] degree and is fluent in [Language skills]. Skilled in team leadership, problem solving, and process improvements. Proven track record of success in overseeing multiple areas without sacrificing quality or service. Passionate patient advocate and Certified Nursing Assistant with expertise in patient care programs and administration. Strong organizational and communication skills. Previous experience as a Construction Laborer, demonstrating ability to take on additional responsibilities and work extended hours to meet project deadlines.
The candidate has over 4 years of experience as a Supply Chain Specialist and has a high school diploma from Lamar High School and a CNA certification from Houston Community College. They are fluent in English and have skills in conducting analysis, project management, team supervision, customer service, and policy development. They also have certifications in heavy equipment operation, OSHA, NCCER, construction site safety, and introductory craft skills. They have experience as a Patient Care Assistant and have skills in team collaboration, confidentiality, care planning, and utilizing community resources. They also have certifications as a Licensed/Certified Home Health Aide and a Certified Nurses Aide.
","[-0.00693436 -0.01186766 -0.00316339 ... -0.02971869  0.00185742
  0.01715759]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[-0.01709369 -0.01718552 -0.00749079 ... -0.02539784 -0.01923204
 -0.00610348]","[ 0.00378679 -0.01434995  0.00217765 ... -0.0228057  -0.00610984
  0.00777616]","[-0.01902652 -0.02366579 -0.01366927 ... -0.04106304 -0.00697961
  0.01674831]"
